Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
100000,prompt_3,p14_find_length_linkedList,0.1607213,0.183816976,0.3160875,0.183816976,0
1000,prompt_4,p14_find_length_linkedList,0.0014505,0.001687815,0.0037118,0.00168499,0.167691363
10000,prompt_4,p14_find_length_linkedList,0.0151802,0.017729025,0.0377809,0.017597918,0.745013894
100000,prompt_4,p14_find_length_linkedList,0.1590728,0.184754919,0.2878209,0.183816976,0.510259042
1000,prompt_5,p14_find_length_linkedList,0.0014374,0.001709351,0.0048436,0.00168499,1.445819523
10000,prompt_5,p14_find_length_linkedList,0.0151634,0.017721999,0.0341211,0.017597918,0.705085329
100000,prompt_5,p14_find_length_linkedList,0.1595072,0.185846449,0.3123818,0.183816976,1.104072368
1000,prompt_6,p14_find_length_linkedList,0.0014487,0.001740744,0.0038565,0.00168499,3.308907109
10000,prompt_6,p14_find_length_linkedList,0.0152001,0.018155033,0.0300013,0.017597918,3.165797406
100000,prompt_6,p14_find_length_linkedList,0.1581967,0.18987327,0.2968393,0.183816976,3.294741408
1000,prompt_7,p14_find_length_linkedList,0.0014543,0.001745912,0.0041449,0.00168499,3.615608376
10000,prompt_7,p14_find_length_linkedList,0.0151735,0.018255373,0.0364264,0.017597918,3.735980994
100000,prompt_7,p14_find_length_linkedList,0.1604337,0.191747403,0.3124863,0.183816976,4.314305933
1000,prompt_1,p15_pascal_triangle,1.00E-05,0.009285957,0.0501946,0.008428084,10.17874805
10000,prompt_1,p15_pascal_triangle,9.90E-06,0.009295487,0.0518269,0.008413058,10.48880569
100000,prompt_1,p15_pascal_triangle,9.80E-06,0.009282862,0.0515312,0.008404927,10.44547962
